№;Название журнала
156;Мелодия
157;Мир детского театра
158;Мир музея
159;Мировое древо
160;МИТ-инфо
161;Мнемозина. Документы и факты из истории отечественного театра XX века
162;Мода. Имидж. Престиж
163;Модели сезона
164;Молодая гвардия
165;Москва
166;Московский вестник
167;Московский журнал
168;Московский наблюдатель
169;Московский стиль
170;Московское наследие
171;Музыкальная академия
172;Музыкальная жизнь
173;Музыкальный журнал
174;Музыкальный Олимп
175;Музыковедение
176;Мы
177;Народное творчество
178;Наука и жизнь
179;Наука о культуре: итоги и перспективы
180;Наш современник
181;Наш театр
182;Наше наследие
183;Нева
184;Невский театралъ
185;Неман
186;Новая Польша
187;Новая Россия
188;Новая Россия. Воскресенье
189;Новая юность
190;Новое время
191;Новое литературное обозрение
192;Новосибирский ОКОЛОтеатральный журнал
193;Новый вернисаж
194;Новый мир
195;Новый мир искусства
196;Ностальгия
197;Обозреватель
198;Обсерватория культуры
199;Огонек
200;Октябрь
201;Омск театральный
202;Опера +
203;Оперетта Land
204;Отечественная история
205;Отечество
206;Памятники Отечества
207;Панорама 1
208;Панорама 2
209;Панорама культурной жизни стран СНГ и Балтии
210;Персона
211;Петербургский театральный журнал
212;Петербургский художник
213;Пинакотека
214;Планета красота
215;Подъем
216;Полярная звезда
217;Посев
218;Праздник
219;Проблемы Дальнего Востока
220;Простор
221;Пульс
222;Радуга
223;Разгуляй
224;Рампа. Культура Башкортостана
225;Ренессанс
226;Реплика
227;Ровесник
228;Родина
229;Российская провинция
230;Россия
231;Русская Галерея
232;Русская галерея - XXI век
233;Русская литература
234;Русская провинция
235;Русская речь
236;Русский экран
237;Русское зарубежье
238;Русское искусство
239;Русь
240;Свой
241;Сеанс
242;Север
243;Сельская молодежь
244;Сибирские огни
245;Славяноведение
246;Слово
247;Смена
248;Собрание актов Президента и Правительства Российской Федерации
249;Собрание законодательства Российской Федерации
250;Собрание шедевров
251;Советский экран
252;Современная драматургия
253;Среди коллекционеров. Журнал для любителей искусства и старины
254;Станиславский
255;Старинная музыка
256;Стас
257;Столица
258;Странник
259;Страстной бульвар, 10
260;Страстной бульвар, 10 
261;Страстной бульвар, 10  
262;Студенческий меридиан
263;Сцена
264;Танец в Украине и в мире
265;ТВ Парк
266;Театр
267;Театр  
268;Театр чудес
269;Театр. Живопись. Кино. Музыка
270;Театрал
271;Театральная афиша
272;Театральная афиша столицы
273;Театральная жизнь
274;Театральная касса
275;Театральное дело: наука и практика
276;Театральный вестник
277;Театральный дневник
278;Театральный журнал
279;Театральный мир
280;Театральный Петербург
281;Театральный Петербург 
282;Театрон
283;Третьяковская галерея
284;Урал
285;Философские науки
286;Фотография
287;Художественная галерея
288;Художественный совет
289;Художник
290;Человек
291;Человек. Культура. Город
292;Чеховский вестник
293;Шаги/Steps
294;Экран
295;Этнографическое обозрение
296;Ювелирная Россия
297;Южная звезда
298;Южный театральный вестник
299;Юность
300;Юный художник
