Номер;КОЛ-ВО;Обзорное описание изданий;Примечания
коробки;экз. в коробке;(Название, год и номера или подшивки);
;;1925 № 17, № 39, № 40, № 41, № 42, № 43, № 44, № 45, № 46, № 47, № 48, № 49, № 50, № 51, № 52;
;;1925 № 41, № 42, № 43, № 44, № 45, № 46, № 47, № 48, № 49;
;;1925 № 41-42 (подшивка);
;;1926 № 1-13 (подшивка);
;;Телевидение и радиовещание;
;;1982 №7-12 (подшивка);
;;1983 № 1-6 (подшивка);
;;1984 № 1-6 (подшивка), №7-12 (подшивка);
;;1985 № 1-6 (подшивка), № 7-12 (подшивка);
;;1986 № 1-6 (подшивка), № 7-12 (подшивка);
;;1987 № 1-6 (подшивка), № 7-12 (подшивка);
;;Тетради по консерватизму;
;;2021 № 1, № 2;
6812;94;Тетради по консерватизму;Заигрова
;;2021 № 4;Коваленко
;;2022 № 1, №2, №3, №4;        12.07.2023
;;2023 № 1;
;;Театральная семья;
;;2017 № 2;
;;Театральная техника и технология;
;;1957 № 1 (2 экз.);
;;1958 № 2/3, № 4/5;
;;1958№ 2/3, 4/5 (подшивка);
;;1959 № 6 вып.;
;;Театральное обозрение;
;;1921 № 1, № 2, №4, № 5, №7, № 8;
;;1921 № 1-10 (подшивка), №1, 2, 6-8 -(подшивка);
;;1922 № 2, 4 (подшивка), № 6;
;;1922 № 2, № 3, № 4, № 5, № 6;
;;Театральные известия (Харьков);
;;1921 № 1, № 2, № 3, № 4, № 5, № 6, № 7, № 8 (2 экз.);
;;1921 № 10-23 (все номера);
;;1922 № 1, № 24;
;;Театральные известия (Теат-ком-губотнаробраза;
;;1920 № 1-4 (подшивка);
;;Театральные известия (Украина- роста);
;;1920 № 1, 3-10 (подшивка);
;;Театральные новинки;
;;1911-1912 № 24;
;;Театральный альманах;
;;1926-1927 (2 экз. 1 номер);
;;Театральный альманах (журнал «Маски»);
;;1913-1914 (1 экз. 1 номер);
;;1914-1915(3 экз. 1 номер);
;;Театральный бюллетень;
;;1922 № 1, № 2, № 3, №4, №.6, №9, №10, № 12, № 13;
;;1927 № 1, № 2 (2 экз.);
;;1928 № 4 (2 экз.);
;;1929 № 2;
;;Театральный вестник;
;;2008 № 11, № 12 (подшивка);
;;2009 № 1-12 (подшивка);
;;;
;;Театральный день;
;;1924 №1-2 (6 экз.);
;;1909 № 63-124 (подшивка);
;;Театральный дневник;
;;1997 № 1;
;;;
6813;179;Театральный еженедельник;Заигрова
;;1923 № 1, № 4, №5, № 7, №9, № 11;Коваленко
;;Театральный журнал;        12.07.2023
;;1923 № 1 (2 экз.);
;;Театральный курьер;
;;1911 № 12;
;;1912 № 9;
;;1918 № 1, 14, 16, 18, 24, 25, 27, 28, 29, 30/31, 34, 35, 38, 47, 48;
;;Театры и пьесы;
;;1903 № 44-68 (подшивка);
;;Театры и зрелища;
;;1925 № 42;
;;1926 № 33-40, 44-49, 51-52 (подшивка);
;;1926 №№ 2-19, 21-24, 33, 34, 36-39, 49 - (всего 26 экз.);
;;1926 №№ 14-43- (всего 30 экз.), № 45, 47, 50, 51;
;;1926 №№ 40-52 - (всего 12 экз.);
;;1927 № 37, 39, 40, 43, 49-57 (подшивка);
;;1927 №№ 1-13- (всего 12 экз.), № 2-6 (всего 4 экз.), 10-12, (2 экз.) № 14;
;;1927 №№ 14-30 (всего 16 экз.), 18-28 (всего 10 экз.), 33-37 (всего 5 экз.), 40-45 (всего 5 экз.), 51-52 (подшивка), 34-37 (3 экз.), 40-50 (6 экз.), 38-39 (подшивка), ;
;;№ 2-14, 18-20, 22-24 (подшивка);
;;Текст. Книга. Книгоиздание.;
;;2023 № 31;
;;Телевидение и радиовещание;
;;1971 № 1-6 (подшивка), 7-12 (подшивка);
;;1972 № 8-12 (подшивка);
;;1974 № 1-12 (подшивка);
;;1975 № 1-12 (подшивка);
;;1976 № 1-12 (подшивка);
;;1977 № 1-6 (подшивка);
;;1977 № 1-12 (подшивка);
;;;
;;;
;;;
;;;
;;;
;; ;
;;;
6814;14;Телевидение и радиовещание;Заигрова
;;1978   № 1-12 (подшивка);Коваленко
;;1980 № 1, 3-12 (подшивка);        12.07.2023
;;1981 № 1-6, 7-12 (подшивка);
;;1982 № 1-6 (подшивка);
;;1988 № 1-6, 7-12 (подшивка);
;;1989 № 1-6, 7-12 (подшивка);
;;1990 № 1-6, 7-12 (подшивка);
;;Телерадио –эфир;
;;1991 № 1-6, 7-12 (подшивка);
;;1992 № 1-5/6, 7 (подшивка);
;;1993 № 1;
;;Техника. Кино и телевидение;
;;2003 № 1-6, 7-12 (подшивка);
;;2004 № 1-6, 7-12 (подшивка);
;;20054 № 1-2, 5-10 (подшивка);
;;2006 № 1-6, 7-12 (подшивка);
;;;
6815;21;Телевидение и радиовещание;Заигрова
;;2007 № 1-6, 7-12 (подшивки);Коваленко
;;2008 № 1-6, 7-12 (подшивки);        12.07.2023
;;2009 № 1-6, 7-12 (подшивки);
;;2010 № 1-6, 7-12 (подшивки);
;;2011 № 1-6, 7-12 (подшивки);
;;2012 № 1-6, 7-12 (подшивки);
;;2013 № 4-12 (подшивка);
;;2014 № 3-6, 7-12 (подшивки);
;;2015 № 1-6, 7-12 (подшивки);
;;2016 № 1-6, 7-12 (подшивки);
;;2017 № 1-6, 7-12 (подшивки);
6816;86;Техника, кино и телевидение;Заигрова
;;2018 № 1, № 2, № 3, № 4, № 5, № 6, № 7, № 8, № 9, № 10, № 11, № 12;Коваленко
;;2019 № 1, № 2, № 3, № 4, № 5, № 6, № 7, № 8, № 9, № 10, № 11, № 12;        12.07.2023
;;2020 № 1, № 2, № 3, № 4, № 5, № 6, № 7, № 8, № 9, № 10, № 11, № 12;
;;2021 № 1, № 2, № 3, № 4, № 5, № 6, № 7, № 8, № 9, № 10, № 11, № 12;
;;2022 № 1, № 2, № 3, № 4, № 5, № 6, № 7, № 8, № 9, № 10, № 11, № 12;
;;2023 № 1, № 2, № 3, № 4, № 5, № 6;
;;Техническая эстетика и промышленный дизайн;
;;2005 № 1-6 (подшивка);
;;Технология строительства;
;;2014 спец. вып.;
;;Томский зритель;
;;1926 № 1-10 (подшивка);
;;1927 № 2-16 (подшивка);
;;Томский театрал;
;;1904 № 1-4 (подшивка);
;;Традиции и авангард;
;;2021 № 2, № 3, № 4;
;;2022 № 1, №2, № 3, № 4;
;;2023 № 1;
;;Третьяковская галерея;
;;2003 № 1 ;
;;2004 № 1-2 (подшивка), № 3, № 4;
;;2005 № 1-2 (подшивка), №3, № 4;
;;;
6817;14;Третьяковская галерея;Заигрова
;;2006 № 1-2 (подшивка) № 3-4 (подшивка);Коваленко
;;2007 № 1, № 1-2 (подшивка) № 3-4 (подшивка);        12.07.2023
;;2008 № 1-2 (подшивка);
;;2009 № 1-2 (подшивка) № 3-4 (подшивка);
;;2010 № 1-2 (подшивка) № 3-4 (подшивка);
;;2011 № 1-2 (подшивка) № 3-4 (подшивка);
;;2012 № 1-2 (подшивка) № 3-4 (подшивка);
;; ;
6818;43;Третьяковская галерея;Заигрова
;;2013 № 1-2 (подшивка), №№ 3, 4;Коваленко
;;2014 №№ 1, 2, 3, 4;        12.07.2023
;;2015 спец. вып.;
;;2015 №№ 1, 2, 3, 4;
;;2016 №№ 1, 2, 3, 4;
;;2017 №№ 1, 2, +прил., 3, 4;
;;2018 №№ 1 + прил., 2, 3, 4;
;;2019 №№ 1, 2, 3, 4;
;;2020 №№ 1, 2, 3, 4;
;;2021 №№ 1, 2, 3, 4;
;;2022 №№ 1, 2, 3, 4;
;;2023 № 1;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
6819;119;Трибуна искусства;Заигрова
;;1925 № 11, 12, 13 (подшивка);Коваленко
;;Труды и дни;        12.07.2023
;;1912 № 6;
;;Турне;
;;1990 №№ 1, 2,3, 4;
;;1993 спец. вып., № 1;
;;1994 № 1;
;;1994/95 № 11/13;
;;Тяни-толкай;
;;1993 № 1;
;;Углечеполе;
;;2012 № 15;
;;2020 № 1;
;;Университетская книга;
;;2012 № № 7/8, 9, 10, 11, 12;
;;2013 № № 1/2, 3, 4, 5, 6, 7/8, 9, 10, 11, 12;
;;2014 № № 1/2, 3, 4, 5, 6, 9, 10, 11, 12;
;;2015 № № 1/2, 3, 4, 5, 6, 7/8, 9, 10, 11, 12;
;;2016 № № 1/2, 3, 4, 5, 6, 7/8, 9, 10, 11, 12;
;;2017 № № 1/2, 3, 5, 6, 7/8, 9, 10, 11, 12;
;;2018 № № 1/2, 3, 4, 6, 9, 10, 11, 12;
;;2019 № № 1/2, 3, 4, 5, 6, 7/8, 9, 10, 11, 12;
;;2020 № № 1/2, 3, 4, 5, 6, 7/8, 9, 10, 11, 12;
;;2021 № № 1/2, 3, 4, 5, 6, 7/8, 9, 10, 11, 12;
;;2022 № № 1/2, 3, 4, 5, 6, 7/8, 9, 10, 11, 12;
;;2023 № № 1/2, 3, 4, 5, 6;
;;;
;;;
6820;54;Университетский научный журнал;Заигрова
;;2021 №№ 61, 63, 64, 65;Коваленко
;;2022 №№ 66, 67, 68, 69, 70, 71;        12.07.2023
;;2023 №№ 72, 73;
;;Урал;
;;2020 № № 1-12;
;;2021 №№ 1-12;
;;2022 №№ 1-12;
;;2023 №№ 1-6;
;;;
;;;
;;;
;;;
6821;103;Управление культурой ;Заигрова
;;2022 №№ 1,2,3,4;Коваленко
;;2023 №1;        12.07.2023
;;Уральский альманах предметов коллекционирования;
;;2013 № 1, № 3-4 (подшивка), № 5;
;;2014 № 6, 7, 8;
;;2015 № 9, 10;
;;2016 № 11;
;;Ученые записки российской академии музыки им. Гнесина;
;;2015 №№ 2, 4;
;;2016 №№ 3, 4;
;;2017 №№ 1, 2, 3, 4;
;;2018 №№ 1, 2, 3, 4;
;;2019 № 4;
;;2020 № 4;
;;2021 №№ 3, 4;
;;2022 №№ 1, 2, 3, 4;
;;2023 № 1;
;;Ученые записки (Алтайская гос. академия культуры и искусств);
;;2018 № 3;
;;2019 №№ 1, 4;
;;2020 № 2;
;;Учитель музыки;
;;2017 №№ 1, 2, 3, 4;
;;2018 №№ 1, 2, 3, 4;
;;2019 № 1;
;;Учреждение культуры и искусства: бухгалтерский учет и налогооблажение;
;;2022 №№ 7, 8;
;;Фигурное катание;
;;2004 № 1-4 (подшивка);
;;Филателия;
;;2012 №№ 6, 8,9;
;;2013 № 7-12 (подшивка);
;;2014 №№ 1,2,3,4,5,6,7,8,9,10,11,12;
;;2015 №№ 1,2,3,4,5,6,7,8,9,10,11,12;
;;2016 №№ 1,2,3,4,5,6,7,8,9,10,11,12;
;;2017 №№ 1,2,3,4,5,6,7,8,9,10,11,12;
;;;
;;;
;;;
;;;
6822;46;Филателия;Заигрова
;;2018 №№ 1,2,3,4,5,6,7,8,9,10,11,12;Коваленко
;;2019 №№ 1,2,3,4,5;        12.07.2023
;;Философия и культура;
;;2016 №№ 1,2,3,4,5,6,7,8,9,10,11,12;
;;Фильм;
;;2002 № 63-68, 69-74 (подшивки);
;;2003 № 7-12, 75-79/80 (подшивки);
;;2004 № 1-6, 7-12 (подшивки);
;;2008 № 1-12 (подшивка);
;;2009 № 1-12(подшивка);
;;2010 № 1-4, 5-12(подшивки);
;;2011 № 1-12 (подшивка);
;;2012 № 1-12 (подшивка);
;;2013 № 4-12 (подшивка);
;;2014 № 1, 2-12 (подшивки);
;;2015 №№ 1/2, 3, 4/5;
;;;
6823;42;Фольклор;Заигрова
;;2019 № 3;Коваленко
;;2020 №2;        12.07.2023
;;2021 №№ 2, 4;
;;2022 №№ 1,2,3;
;;Формула танца;
;;2021 № 1;
;;Фотограф;
;;1929 № 7;
;;1928 № 5-6;
;;Фотография;
;;1967 № 1;
;;1973 №№ 1-4 (подшивка);
;;1974 № 1-4 (подшивка);
;;1975 № 1-2, 3-4 (подшивки);
;;1976 № 1-4 (подшивка);
;;1977 № 1-4 (подшивка);
;;1978 № 1-4 (подшивка);
;;1995 №№ 4,6;
;;1996 №№ 1, 2/3, 4, 5, 6;
;;1997 №№ 1, 2, 3, 5/6;
;;1998 № 1;
;;Фотодело;
;;2004 №№ 1,2, 3 4,5,6,7,8,9,10, 11, 12;
;;;
;;;
;;;
;;;
;;;
;;;
6824;78;Фотодело;Заигрова
;;2005 №№ 1,2,3, 4,5,6,7,8,9,10, 11, 12;Коваленко
;;2006 №№ 1,2,3, 4,5,6,7,8,9,10, 11, 12;        12.07.2023
;;2007 №№ 2,3, 4, 5 ,6,7,8,9,10, 11, 12;
;;2008 №№ 1/2,3, 4,5,6,7/8,9,10, 11, 12;
;;2009 №№1/2,3, 4, 5/6, 7/8, 9, 10, 11/12;
;;2010 №№1/2,3, 4, 5, 6;
;;Фотопроарт коллекция;
;;2005 № 1;
;;Фронтовой юмор;
;;1942 № 1-3, 6-12, 15 (подшивка);
;;Хит парад;
;;2004 №№ 1,2,3,4;
;;Хронограф;
;;2001 № 1;
;;2002 № 1;
;;2005 № 2;
;;2006 № 11, 12;
;;2007 № 13;
;;2011 № 14;
;;Художественная жизнь;
;;1919 № 1(2 экз.);
;;1920 № 2-5 (подшивка), №№2, 3, 4/5;
;;Художественное образование;
;;1931 № 5;
;;;
;;;
;;;
;;;
;;;
;;;
6825;70;Художественное образование и наука;Заигрова
;;2014 № 1;Коваленко
;;2015 №№ 1, 2, 3;        12.07.2023
;;2016 №№ 1, 2, 4;
;;2017 №№ 1, 2,3, 4;
;;2018 №№ 1,4;
;;2019 №№ 1,3,4;
;;2020 №№ 2, 3, 4;
;;2021 №№1/2, 1/3;
;;2022 № 1, 2,3;
;;Художник и зритель;
;;1924 № 1-3, 4-7(подшивки), № 1, 6/7;
;;Художественный журнал;
;;1997 № 16;
;;Художественный труд;
;;1923 № 1, 2, 3, 4, 4;
;;Цветы;
;;2019 № 7;
;;Центр и периферия;
;;2019 №№ 1, 3;
;;2020 №№ 1, 3;
;;2021 №№ 1, 3, 4;
;;2022 №№ 1,2,3;
;;Цитата;
;;2006 №№ 1,2,2,3,3,4;
;;2007 №№ 1,3/4, 5/6;
;;2008 №№ 4, 5/6;
;;Час культуры;
;;2022 № 1;
;;Часы;
;;1996 № 2;
;;Челнок;
;;1925 № 1-8, 10, 11, 13 (подшивка);
;;Человек;
;;2016 №№ 1, 2, 3,4,5,6;
;;2017 №№ 1, 2, 3,4,5,6;
;;;
;;;
;;;
;;;
;;;
;;;
6826;96;Художественные сокровища России;Заигрова
;;1901 № 1, 1-9, 11-12 (подшивки);Коваленко
;;1903 № 1, 4-12 (подшивки);        12.07.2023
;;1904 № 2-4, 9, 10, 12 (подшивка);
;;Художественный журнал;
;;2000 № 3 ;
;;2002 № 5;
;;2007 № 2/3;
;;2009 №1/2;
;;2010 1/2;
;;2022 № 120, 121;
;;2020 № 113,114;
;;Художественный Саратов;
;;1922/23 № 5;
;;Цирк и эстрада №№1, 2, 3, 5, 6, 7, 8, 9, 11,12, 13,14,15, 16, 18/19, 22/23;
;;1930 №№1, 2, 3, 8, 10;
;;Репертуар для детских и юношеских театров;
;;2007 №№ 1, 2, 3, 4, 5, 6;
;;2008 №№ 1, 2, 3, 4, 5, 6;
;;2009 №№ 1, 2, 3, 4, 5, 6;
;;2010 №№ 1, 2, 3, 4, 5, 6;
;;;
;;2011 №№ 1, 2, 3, 4, 5, 6;
;;2012 №№ 1, 2, 3, 4, 5, 6;
;;2013 №№ 1, 2, 3, 4, 5, 6;
;;2014 №№ 1, 2, 3, 4, 5, 6;
;;2015 №№ 1, 2, 3, 4, 5, 6;
;;2016 №№ 1, 2, 3, 4, 5, 6;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
6827;80;Человек;Заигрова
;;2018 №№ 1, 2, 3, 4, 5, 6;Коваленко
;;2019 №№ 1, 2, 3, 4, 5, 6;        12.07.2023
;;2020 №№ 1, 2, 3, 4, 5, 6;
;;2021 №№ 1, 2, 3, 4, 5, 6;
;;2022 №№ 1, 2, 3, 4, 5, 6;
;;2023 №№ 1,2;
;;Человек без границ;
;;2008 №№ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;2009 №№ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;Человек. Культура. Образование;
;;2020 № 4;
;;2021 №№ 3,4;
;;20022 №№ 1,2,3,4;
;;2023 № 1;
;;Читаем вместе;
;;2016 № 2;
;;2018 №№ 1, 11;
;;2019 № 1/2;
;;2022 №№ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;; ;
;;;
6833;41;Сброс;Заигрова
;;Аврора ;Коваленко
;;2023 № 2;        13.07.2023
;;Архитектура и время;
;;2023 № 3;
;;Архитектура. Строительство. Дизайн ;
;;2011 № 4;
;;2023 № 1/2;
;;Архитектура и строительство России;
;;2023 № 1;
;;Автограф;
;;2023 № 4;
;;Библиотечное дело;
;;2023 № 9;
;;Вопросы театра;
;;2020 № 1;
;;Вопросы культурологии;
;;2023 № 5;
;;Дом Бурганова;
;;2009 № 2;
;;Дом культуры;
;;2023 № 6;
;;Дружба народов ;
;;2023 № 6;
;;Знамя ;
;;2023 № 6;
;;Золотая Русь;
;;2023 лето-осень;
;;Игровая библиотека ;
;;2023 № 2;
;;Иностранная литература;
;;2023 № 6;
;;Индекс-Глянец;
;;2023 № 5;
;;Исторический архив;
;;2023 № 3;
;;Искусство кино;
;;1982 № 7-9 (подшивка);
;;Казань;
;;2023 № 6;
;;Край смоленский;
;;2023 № 5;
;;Культура Урала;
;;2023 № 5;
;;Культурный код;
;;2023 № 2;
;;Киносценарий;
;;1973 № 1;
;;1974 № 1;
;;1976 № 1;
;;1977 №№ 1, 2;
;;Лица липецкой области;
;;2023 № 5;
;;Марксистско-ленинское искусствознание;
;;1932 № 5/6;
;;Мономах;
;;2023 № 3;
;;Москва;
;;2023 № 7;
;;Музыка: искусство, наука, практика;
;;2023 № 1;
;;Музыкальная жизнь;
;;2014 № 7/8-12 (подшивка);
;;Музыкальная палитра;
;;2023 № 3, 4;
;;Нева;
;;2023 № 6;
;;Независимый библиотечный адвокат;
;;2023 № 3;
;;Неприкосновенный запас;
;;2023 № 2;
;;Новое литературное обозрение;
;;2023 № 3;
;;Новый мир;
;;2023 № 6;
;;Общество: философия, культура;
;;2023 № 5;
;;Обсерватория культуры;
;;2023 № 2;
;;Охраняется государством;
;;2023 № 1;
;;Отечественные архивы;
;;2023 № 3;
;;Русский мир;
;;2023 № 6;
;;Столица;
;;1993 № 40-52 (подшивка);
;;Телевидение и радиовещание;
;;1973 № 1-12 (подшивка);
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
6834;88;Читаем, учимся, играем;Заигрова
;;2000 № № 3, 4, 5, 6, 7;Коваленко
;;2004 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;       13.07.2023
;;2005 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11;
;;2006 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;2007 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;2008 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;2009 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;2010 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;;
;;;
;;;
;;;
;;;
;;;
6835;70;Читаем, учимся, играем;Заигрова
;;2011 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;Коваленко
;;2012 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;       13.07.2023
;;2013 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;2014 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10;
;;2015 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;2016 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;;
;;;
;;;
6836;85;Читаем, учимся, играем;Заигрова
;;1998 №№ 6, 7;Коваленко
;;1999 №№ 1, 4, 5, 6;       13.07.2023
;;2000 №№ 1, 2;
;;2017 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;2018 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;2019 №№ 1, 2, 3, 4, 5, 6, 7, 8, 9,10, 11;
;;2020 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;2021 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;2022 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;
;;2023 №№ 1, 2, 3, 4, 5, 6;
;;;
6837;36;Чудак;Заигрова
;;1929 № 1, 2, 6, 13, 14 (подшивка), № 34, 36, 37, 39, 46, 48 (подшивка);Коваленко
;;1930 № 1, 4 (подшивка);       13.07.2023
;;Чудесные мгновенья;
;;2004 № 4;
;;2005 № 1;
;;Шаги;
;;2017 № 3;
;;2020 №№ 3, 4;
;;2021 №№ 1,2,3,4;
;;2022 №№ 1, 2,3, 4;
;;Шансонетка;
;;1914 № 5;
;;Шоу мастер;
;;2021 № 2;
;;Штрих;
;;2011 № 1;
;;Экземпляр;
;;2021 №№ 2,3;
;;2022 №№ 2, 3, 4, 5, 6;
;;2023 №№ 1, 2, 3;
;;Экран;
;;1921 № 1-6 (подшивка);
;;1922 № 17-19, 24/25 (подшивка), №17-32 (подшивка);
;;1926 № 7, 9, 25, 30, 31, 33-35 (подшивка);
;;1929 № 2-18, 20-23, 26, 28, 30-36, 38, 41, 43, 44, 49 (подшивка);
;;;
;;;
6838;90;Экран;Заигрова
;;1937 № 5, 7;Коваленко
;;1938 №№ 1, 2, 3, 4, 5, 6, 9, 11;       13.07.2023
;;1939 №№ 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19 ;
;;1991 № 1-18 (подшивка);
;;1992 № № 1-9 (подшивка);
;;1993 № 1-6, (подшивка) № 7-12 (подшивка);
;;1994 № 1-6 (2 экз.) (подшивки), № 7-10 (подшивка), №№ 1, 4;
;;1995 № 2, 3, 5/6, 7, 8, 9, 10, ;
;;№ 1-6 (подшивка), № 7-10 (подшивка);
;;1996 № 1, 2, 3/4, 5, 6, 7/8 (2 экз.), № 1-8 (подшивка);
;;1997 № 1;
;;Эрмитаж;
;;2008 № 3;
;;2010 № 1/2;
;;2013 № 1/2;
;;2015 № 21;
;;2018 №№ 26, 27;
;;2022 №№ 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14;
;;Эскиз;
;;2013 № 3-4-5 ;
;;№ 6-7-8 ;
;;№ 9-10-11-12;
;;2014 № 1, 2, 3, 4/6;
;;2015 № 1/2, 3, 4/5, 6;
;;2016 №№ 1, 2, 3, 4, 5;
;;2017 №№ 2, 3, 4, 5/6;
;;;
;;;
;; ;
;;;
;;;
;;;
6839;68;Эскиз;Заигрова
;;2018 №№ 1, 2, 3, 4, 5, 6;Коваленко
;;2019 №№ 1, 2, 3, 4, 5, 6;       13.07.2023
;;2020 №№ 1, 2, 3, 4, 5, 6;
;;2021 №№ 1, 2, 3, 4, 5, 6;
;;2022 №№ 1, 2, 3, 4, 5, 6;
;;2023 №№ 2, 3;
;;Эстрада и цирк;
;;1992 № 1-6 (подшивка), 7-8 (подшивка);
;;№1-2, 5-12 (подшивка);
;;1993 № 1-6(подшивка) (2 экз.);
;;Эстетическое воспитание;
;;2001 №№ 1, 2, 3, 4, 5/6;
;;Этническая культура;
;;2020 № 4/5;
;;2021 № 1;
;;2022 № 1, 2, 3, 4;
;;2023 № 1, 2;
;;Этнографическое обозрение;
;;2016 №№ 1, 2, 3, 4, 5, 6;
;;2017 №№ 1, 2, 3, 4, 5, 6;
;;2018 №№ 1, 2, 3, 4, 5, 6;
;;2019 №№ 1, 2, 3, 4, 5, 6;
;;2020 №№ 1, 2, 5, 6;
;;;
;;;
;;;
6840;79;Этнографическое обозрение;Заигрова
;;2021 №№ 4, 5, 6;Коваленко
;;2022 №№ 1, 2, 3, 4, 5;       13.07.2023
;;Этнография;
;;2020 № 4;
;;2021 № 3, 4;
;;2022 № 1, 2, 3, 4;
;;Эхо;
;;1922 №№ 1, 2, 4;
;;1923 № 5-15 (подшивка) № 5, 7, 8, 9, 10, 11, 12, 13, 14, 15;
;;1924 № 1;
;;1925 № 1-11 (подшивка), 13-24 (подшивка);
;;Эхо театра;
;;1925 № 1-3(подшивка);
;;1926 № 6,7 (подшивка);
;;Южная звезда;
;;2021 № 2;
;;Южное сияние;
;;2019 № 1;
;;Южно-российский музыкальный альманах;
;;2010 № 2;
;;2011 №№ 1, 2;
;;2013 № 2;
;;2014 №№ 1, 2, 3, 4;
;;2015 № 1, 2;
;;2016 №№ 1, 2, 4;
;;2017 №№ 1, 2, 3, 4;
;;2018 №№ 1, 2, 3, 4;
;;2019 №№ 1, 2, 3;
;;2020 № 4;
;;2021 №№ 1, 2, 3, 4;
;;2022 №№ 1, 2, 3, 4;
;;2023 № 1;
;;Южный театральный вестник;
;;2007 № 1-12 (подшивка);
;;2008 № 1-10 (подшивка);
;;ЮМ: технологии, оборудования;
;;2004 № 5/6;
;;Язык. Словесность. Культура.;
;;2018 № 6;
;;2019 № 1/2, 3, 4/5, 6;
;;2020 № 1/2;
;;;
;;;
;;;
;;;
;;;
6857;33;Автограф ;Пушкина
;;2005 № 1, 3-7 (подшивка);18.07.20023
;;"2005 № 8–9;  2006 № 1–4, 6-9 (подшивка)";
;;"2006 № 8,  9; 2007 № 10, 1 (подшивка)";
;;Арена;
;;1991 № 1-48 (подшивка);
;;Арена;
;;1992 № 1-22, 25-26 (подшивка);
;;Арт газета;
;;2000 № 18, 28, 31, 33, 34, 37;
;;Большой театр;
;;2012 № 1-12 (подшивка);
;;2013 № 1-11 (подшивка);
;;Вешалка ;
;;2013 Ноябрь;
;;2014 Ноябрь;
;;2015 Апрель;
;;2016 Март;
;;2016 Апрель - май;
;;2016 Июнь – июль;
;;2017 Ноябрь;
;;2020 Февраль – март;
;;Галерея;
;;"2001 № 10-11; 2002 № 1-6 (подшивка)";
;;2004 № 11-12 (подшивка);
;;2005 № 1-12 (подшивка);
;;2006 № 1-11 (подшивка);
;;2007 № 1, 2, 4-11 (подшивка);
;;2008 № 1-12 (подшивка);
;;2009 № 1-6 (подшивка);
;;2010 № 1-12 (подшивка);
;;2011 № 1, 2, 4-6, 7-8, 10, 11 (подшивка);
;;2011 № 9, 12 (подшивка);
;;2012 № 1-12 (подшивка);
;;Декоративное искусство;
;;2000 № 3;
;;;
6858;27;Дом актера;Пушкина
;;"1995 №1-9, 11-12; 1996 № 1-4, 12; 1997 №1, спец. вып., 5/6 (подшивка)";18.07.20023
;;Дом актера ;
;;"2001 Ноябрь; 2002 № 68-70, 72 (подшивка)";
;;2003 № 74, 75, 77-83 (подшивка);
;;2004 № 1-10 (подшивка);
;;2004 № 1-9 (подшивка);
;;2005 № 1-10 (подшивка);
;;2005 № 1, 3, 6 (подшивка);
;;2005 № 1-3, 5-6 (подшивка);
;;2006 № 1-4, 6-9 (подшивка);
;;"2007 № 1 /4-11, 12; 2008 №4 (подшивка)";
;;2008 № 1-7 (подшивка);
;;2009 № 1-3, 5, 11 (подшивка);
;;"2009 № 2; 2010 № 1-5; 2011 №2-3; 2013 № 2, спец. вып. (подшивка)";
;;2016 № 148/149, 150/151, 152/153 (подшив.);
;;Достоевский;
;;1821;
;;Звезды над паркетом ;
;;2001 № 66, 8-15, 17-24 (подшивка);
;;2002 № 1-11, 13-17, 20 (подшивка);
;;2003 № 3/4 (подшивка);
;;2004 № 1-15 (подшивка);
;;2004 № 16-30 (подшивка);
;;2005 № 1-21 (подшивка);
;;2006 №18;
